tournament_id,team_id,division_id,seed
109,392,69,4
109,393,69,5
109,394,69,6
109,395,69,7
109,396,69,8
109,397,69,12
109,398,69,11
109,399,69,9
109,400,69,16
109,401,69,15
109,402,69,14
109,403,69,10
109,404,69,13
109,405,69,17
109,406,69,18
109,407,69,19
109,408,69,20
109,409,69,21
109,410,69,23
109,411,69,24
109,412,67,1
109,413,67,2
109,414,67,3
109,415,67,4
109,416,67,5
109,417,67,6
109,418,67,7
109,419,67,8
109,420,67,9
109,421,67,10
109,422,67,11
110,423,71,1
110,424,70,2
110,425,70,1
110,426,71,4
110,427,70,3
110,428,70,4
110,429,71,2
110,430,71,3
111,431,,
113,440,,1
113,441,,2
113,442,,3
113,443,,4
113,444,,5
113,445,,6
113,446,,7
113,447,,8
113,448,,9
113,449,,10
113,450,,11
113,451,,12
113,452,,13
113,453,,14
113,454,,15
113,455,,16
113,456,,17
113,457,,18
113,458,,19
113,459,,20
113,460,,21
113,461,,22
113,462,,23
113,463,,24
113,464,,25
114,477,82,4
114,478,82,1
114,479,82,3
114,480,82,2
114,481,82,6
114,482,82,9
114,483,82,7
114,484,82,8
114,485,82,5
22,486,88,15
22,487,88,9
22,488,88,1
22,489,88,5
22,490,88,14
22,491,88,7
22,492,88,16
22,493,88,6
22,494,88,13
22,495,88,8
22,496,88,2
22,497,88,12
22,498,88,4
22,499,88,10
22,500,88,3
22,501,88,11
22,502,89,3
22,503,89,5
22,504,89,9
22,505,89,6
22,506,89,1
22,507,89,4
22,508,89,8
22,509,89,10
22,510,89,15
22,511,89,11
22,512,89,2
22,513,89,16
22,514,89,12
22,515,89,14
22,516,89,7
22,517,89,13
22,518,86,5
22,519,86,2
22,520,86,3
22,521,86,4
22,522,86,1
22,523,85,6
22,524,85,4
22,525,85,8
22,526,85,3
22,527,85,7
22,528,85,9
22,529,85,5
22,530,85,2
22,531,87,3
22,532,87,7
22,533,87,1
22,534,87,11
22,535,87,5
22,536,87,6
22,537,87,8
22,538,87,12
22,539,87,10
22,540,87,4
22,541,87,2
22,542,87,9
22,543,90,2
22,544,90,5
22,545,90,3
22,546,90,4
22,547,90,1
22,548,90,6
22,549,85,1
115,550,91,1
115,551,91,5
115,552,91,2
115,553,91,6
115,554,91,3
115,555,91,4
36,556,95,7
36,557,95,8
36,558,95,4
36,559,95,3
36,560,95,16
36,561,95,19
36,562,95,17
36,563,95,15
36,564,95,18
36,567,95,2
36,568,95,12
36,569,95,11
36,570,95,20
36,571,95,1
36,572,95,14
36,573,95,13
36,574,95,10
36,575,95,9
36,576,96,10
36,577,96,1
36,578,96,2
36,579,96,8
36,580,96,7
36,581,96,6
36,582,96,3
36,583,96,9
36,584,96,4
36,585,96,5
120,586,98,1
120,587,98,2
120,588,98,3
120,589,98,4
120,590,98,5
120,591,98,6
120,592,98,7
120,593,98,8
120,594,98,9
120,595,98,10
120,596,98,11
120,597,98,12
120,598,98,13
52,601,99,1
52,602,99,2
52,603,99,3
52,604,99,4
52,605,99,7
52,606,,9
52,607,,10
52,608,,11
52,609,,12
52,610,99,5
52,611,99,6
52,612,99,8
121,613,109,8
121,614,109,1
121,615,109,2
121,616,109,4
121,617,109,3
121,618,109,10
121,619,109,6
121,620,109,16
121,621,109,9
121,622,109,5
121,623,109,7
121,624,109,12
121,625,109,13
121,626,109,14
121,627,109,15
121,628,109,11
5,629,106,5
5,630,106,6
5,632,106,8
5,633,106,9
5,635,106,3
5,636,106,1
5,637,106,1
5,638,106,2
5,640,106,4
5,642,106,7
28,643,107,1
28,644,107,2
28,645,107,3
28,646,107,4
28,647,107,5
28,648,108,1
28,649,108,2
28,650,108,3
28,651,108,4
28,652,108,5
123,653,112,1
123,654,112,2
123,655,112,3
123,656,112,6
123,657,112,5
123,658,112,4
37,659,,1
37,660,,7
37,661,,12
37,662,,14
37,663,,17
37,664,,23
37,665,,26
37,666,,29
37,667,,2
37,668,,8
37,669,,9
37,670,,15
37,671,,18
37,672,,24
37,673,,27
37,674,,30
37,675,,3
37,676,,5
37,677,,10
37,678,,16
37,679,,19
37,680,,21
37,681,,28
37,682,,31
37,683,,4
37,684,,6
37,685,,11
37,686,,13
37,687,,20
37,688,,22
37,689,,25
37,690,,32
127,691,113,1
127,692,113,2
127,693,113,3
127,694,113,4
127,695,113,5
132,696,,
132,697,,
132,698,,
137,699,,
137,700,,
137,701,,
137,702,,
137,703,,
137,704,,
137,705,,
137,706,,
137,707,,
137,708,,
137,709,,
137,710,,
140,711,,16
140,712,,17
140,713,,18
140,714,,19
140,715,,20
140,716,,1
140,717,,2
140,718,,3
140,719,,4
140,720,,5
140,721,,6
140,722,,7
140,723,,8
140,724,,9
140,725,,10
140,726,,11
140,727,,12
140,728,,13
140,729,,14
140,730,,15
1,738,117,1
1,739,117,2
1,740,117,3
1,741,117,4
1,742,117,5
1,743,117,6
1,744,117,7
1,745,117,8
144,746,118,1
144,747,118,2
144,748,118,3
144,749,118,4
144,750,118,5
144,751,118,6
144,752,118,7
144,753,118,8
144,754,118,9
144,755,118,10
144,756,119,1
144,757,119,2
144,758,119,3
144,759,119,4
144,760,119,5
144,761,119,6
146,762,,
147,763,122,1
147,764,122,7
147,765,122,2
147,766,122,3
147,767,122,4
147,768,122,5
147,769,122,6
147,770,122,8
147,771,122,9
147,772,122,10
148,773,123,1
148,774,124,2
148,775,125,3
148,776,125,4
148,777,124,5
148,778,123,6
148,779,123,7
148,780,125,8
148,781,124,9
148,782,123,10
148,783,124,11
148,784,125,12
151,786,126,1
151,787,126,2
151,788,126,3
151,789,126,4
151,790,126,5
151,791,126,6
151,792,126,7
151,793,127,1
151,794,127,2
151,795,127,3
151,796,127,4
151,797,127,5
151,798,127,6
151,799,127,7
151,800,127,8
151,801,127,9
151,802,127,10
151,803,127,11
151,804,127,12
151,805,127,13
151,806,127,14
151,807,127,15
151,808,129,1
151,809,129,2
151,810,129,3
151,811,129,4
151,812,129,6
151,813,129,5
151,814,129,8
151,815,129,7
151,816,128,1
151,817,128,2
151,818,128,3
151,819,128,4
151,820,128,6
151,821,128,5
151,822,128,8
151,823,128,7
151,824,131,1
151,825,131,2
151,826,131,3
151,827,131,4
151,828,131,5
151,829,131,6
151,830,131,7
151,831,131,8
151,832,131,9
151,833,131,10
